Регион,Всего,Указавшие цель приезда,работу,учебу,частную поездку,служебную или деловую поездку,"туризм, отдых",транзитное перемещение,другую цель,Не указавшие цель приезда
Саратовская область,,,,,,,,,,
Таджикистан,82.0,82.0,46.0,11,18,1,1,4,1,-
Ульяновская область,,,,,,,,,,
Таджикистан,115.0,114.0,17.0,89,4,-,-,-,4,1
Уральский федеральный округ,,,,,,,,,,
Таджикистан,3477.0,3309.0,2602.0,324,149,21,39,29,145,168
Курганская область,,,,,,,,,,
Таджикистан,60.0,59.0,39.0,13,3,-,-,-,4,1
Свердловская область,,,,,,,,,,
Таджикистан,1850.0,1784.0,1559.0,118,44,3,8,1,51,66
Тюменская область,,,,,,,,,,
Таджикистан,827.0,755.0,546.0,83,70,2,5,-,49,72
Ханты-Мансийский автономный округ - Югра,,,,,,,,,,
Таджикистан,464.0,402.0,297.0,21,53,1,2,-,28,62
Ямало-Ненецкий автономный округ,,,,,,,,,,
Таджикистан,45.0,42.0,34.0,4,1,-,1,-,2,3
Тюменская область без автономных округов,,,,,,,,,,
Таджикистан,318.0,311.0,215.0,58,16,1,2,-,19,7
Челябинская область,,,,,,,,,,
Таджикистан,740.0,711.0,458.0,110,32,16,26,28,41,29
Сибирский федеральный округ,,,,,,,,,,
Таджикистан,2121.0,2077.0,1534.0,260,183,10,5,5,80,44
Республика Алтай,,,,,,,,,,
Таджикистан,14.0,14.0,14.0,-,-,-,-,-,-,-
Республика Тыва,,,,,,,,,,
Таджикистан,1.0,1.0,1.0,-,-,-,-,-,-,-
Республика Хакасия,,,,,,,,,,
Таджикистан,67.0,67.0,58.0,-,3,-,-,3,3,-
Алтайский край,,,,,,,,,,
Таджикистан,643.0,636.0,417.0,94,107,8,2,-,8,7
Красноярский край,,,,,,,,,,
Таджикистан,413.0,399.0,322.0,37,12,-,1,2,25,14
Иркутская область,,,,,,,,,,
Таджикистан,354.0,341.0,299.0,16,15,-,1,-,10,13
Кемеровская область - Кузбасс,,,,,,,,,,
Таджикистан,120.0,120.0,73.0,32,10,1,-,-,4,-
Новосибирская область,,,,,,,,,,
Таджикистан,349.0,341.0,234.0,56,22,1,1,-,27,8
Омская область,,,,,,,,,,
Таджикистан,131.0,129.0,109.0,10,8,-,-,-,2,2
Томская область,,,,,,,,,,
Таджикистан,29.0,29.0,7.0,15,6,-,-,-,1,-
Дальневосточный федеральный округ,,,,,,,,,,
Таджикистан,3598.0,3589.0,2953.0,302,223,6,3,-,102,9
Забайкальский край,,,,,,,,,,
Таджикистан,222.0,222.0,217.0,2,2,1,-,-,-,-
Камчатский край,,,,,,,,,,
Таджикистан,150.0,149.0,130.0,5,2,-,1,-,11,1
Приморский край,,,,,,,,,,
Таджикистан,776.0,776.0,685.0,16,15,-,-,-,60,-
Хабаровский край,,,,,,,,,,
Таджикистан,217.0,217.0,64.0,144,-,-,-,-,9,-
Амурская область,,,,,,,,,,
Таджикистан,1144.0,1140.0,957.0,32,138,5,-,-,8,4
Магаданская область,,,,,,,,,,
Таджикистан,161.0,161.0,159.0,2,-,-,-,-,-,-
Сахалинская область,,,,,,,,,,
Таджикистан,113.0,110.0,102.0,1,1,-,1,-,5,3
Еврейская автономная область,,,,,,,,,,
Таджикистан,16.0,16.0,12.0,-,1,-,-,-,3,-
Чукотский автономный округ,,,,,,,,,,
Таджикистан,22.0,22.0,22.0,-,-,-,-,-,-,-
